ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
BR-0001,small_airport,Sitio de Voo TatamborÃ¡,500,SA,BR,BR-SP,"Ponta da Sela, Ilhabela",,,,"-45.4463996887207, -23.887500762939453"
BR-0002,closed,Alegrete,,SA,BR,BR-RS,,,,,"-55.76305389404297, -29.800277709960938"
BR-0003,closed,Fazenda Cana Brava,,SA,BR,BR-BA,,,,,"-39.5817985534668, -17.418399810791016"
BR-0004,closed,Fazenda Sao Judas Tadeu,,SA,BR,BR-RO,,,,,"-60.90079879760742, -12.617799758911133"
BR-0005,closed,Iguatemi,,SA,BR,BR-MS,,,,,"-54.62969970703125, -23.63290023803711"
BR-0006,closed,Ilha Solteira,,SA,BR,BR-SP,,,,,"-51.33140182495117, -20.42169952392578"
BR-0007,closed,Irati,,SA,BR,BR-PR,,,,,"-50.65388870239258, -25.503889083862305"
BR-0008,closed,Planura,,SA,BR,BR-MG,,,,,"-48.69969940185547, -20.124399185180664"
BR-0009,closed,Ponta Do Costa,,SA,BR,BR-RJ,,,,,"-42.082801818847656, -22.87190055847168"
BR-0010,closed,Senhor Do Bonfim,,SA,BR,BR-BA,,,,,"-40.18280029296875, -10.47029972076416"
BR-0011,closed,Edmar Ferreira,1476,SA,BR,BR-GO,Buriti Alegre,,,,"-48.90800094604492, -18.25749969482422"
BR-0012,closed,Maisa Airport,262,SA,BR,BR-RN,MossorÃ³,,,,"-37.515899658203125, -5.022540092468262"
BR-0013,closed,Fazenda Campo Oliva - NhecolÃ¢ndia,425,SA,BR,BR-MS,CorumbÃ¡,,,,"-55.450298, -18.500999"
BR-0014,closed,Nova JacuÃ­ Airport,1070,SA,BR,BR-RS,Salto do JacuÃ­,,,,"-53.215833333300004, -29.118055555599998"
BR-0015,closed,TucumÃ£ Airport,1060,SA,BR,BR-PA,TucumÃ£,,TUZ,,"-51.1478, -6.7488"
BR-0016,small_airport,AlexÃ¢nia Municipal Airport,3590,SA,BR,BR-GO,AlexÃ¢nia,,,,"-48.5294, -16.06185"
BR-0017,heliport,Guarulhos - Sao Paulo Airport Marriott Heliport,,SA,BR,BR-SP,,,,,"-46.4917990565, -23.4557270361"
