ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
DN50,small_airport,Shiroro Airport,1305,AF,NG,NG-NI,,DN50,,DN50,"6.818630218505859, 9.884650230407715"
DN51,small_airport,Ajaokuta Airport,620,AF,NG,NG-KO,,DN51,,DN51,"6.461130142211914, 7.457240104675293"
DN53,small_airport,Kaduna Old Airport,2126,AF,NG,NG-KD,,DN53,,DN53,"7.448709964752197, 10.598899841308594"
DN54,small_airport,Bajoga Northeast Airport,1000,AF,NG,NG-GO,Bajoga,DN54,,DN54,"11.501199722290039, 10.919899940490723"
DN55,small_airport,Eket Airport,47,AF,NG,NG-AK,,DNEK,,,"7.94904, 4.642182"
DN56,small_airport,Escravos Airport,10,AF,NG,NG-DE,,DNES,,,"5.188485, 5.61673"
DN57,small_airport,Katsina Airport,1660,AF,NG,NG-KT,Katsina,,DKA,,"7.660449981689999, 13.007800102200001"
DNAA,large_airport,Nnamdi Azikiwe International Airport,1123,AF,NG,NG-FC,Abuja,DNAA,ABV,,"7.263169765472412, 9.006790161132812"
DNAI,large_airport,Akwa Ibom International Airport,170,AF,NG,NG-AK,Uyo,DNAI,QUO,,"8.093, 4.8725"
DNAK,medium_airport,Akure Airport,1100,AF,NG,NG-ON,Akure,DNAK,AKR,,"5.3010101318359375, 7.246739864349365"
DNAS,medium_airport,Asaba International Airport,305,AF,NG,NG-DE,Asaba,DNAS,ABB,,"6.665278, 6.204167"
DNBB,small_airport,Bebi Airport,919,AF,NG,NG-CR,Bayaluga,DNBB,,,"9.319001, 6.6215"
DNBC,medium_airport,Sir Abubakar Tafawa Balewa International Airport,1965,AF,NG,NG-BA,Bauchi,DNBC,BCU,,"9.744, 10.482833"
DNBE,medium_airport,Benin Airport,258,AF,NG,NG-ED,Benin,DNBE,BNI,,"5.5995001792907715, 6.316979885101318"
DNBI,small_airport,Bida Airport,450,AF,NG,NG-NI,Bida,DNBI,,,"6.017000198364258, 9.100000381469727"
DNCA,medium_airport,Margaret Ekpo International Airport,210,AF,NG,NG-CR,Calabar,DNCA,CBQ,,"8.347200393676758, 4.976019859313965"
DNDS,small_airport,Dutse International Airport,1365,AF,NG,NG-JI,Dutse,DNDS,,,"9.311667, 11.795168"
DNEN,medium_airport,Akanu Ibiam International Airport,466,AF,NG,NG-EN,Enegu,DNEN,ENU,,"7.561960220336914, 6.474269866943359"
DNFB,small_airport,Finima Bonny Airport,,AF,NG,NG-RI,Finima,DNFB,,,"7.176096, 4.406626"
DNFD,small_airport,Forcados Terminal Airport,11,AF,NG,NG-DE,Forcados,DNFD,,,"5.349002, 5.355"
DNGU,medium_airport,Gusau Airport,1520,AF,NG,NG-ZA,Gusau,DNGU,,,"6.69611, 12.1717"
DNIB,medium_airport,Ibadan Airport,725,AF,NG,NG-OY,Ibadan,DNIB,IBA,,"3.97832989692688, 7.362460136413574"
DNIL,medium_airport,Ilorin International Airport,1126,AF,NG,NG-KW,Ilorin,DNIL,ILR,,"4.493919849395752, 8.440210342407227"
DNIM,medium_airport,Sam Mbakwe International Airport,373,AF,NG,NG-IM,Owerri,DNIM,QOW,,"7.206029891967773, 5.427060127258301"
DNJA,small_airport,Jalingo Airport,685,AF,NG,NG-TA,Jalingo,DNJA,,,"11.27946, 8.900587"
DNJO,medium_airport,Yakubu Gowon Airport,4232,AF,NG,NG-PL,Jos,DNJO,JOS,,"8.869050025939941, 9.639829635620117"
DNKA,medium_airport,Kaduna Airport,2073,AF,NG,NG-KD,Kaduna,DNKA,KAD,,"7.320109844207764, 10.696000099182129"
DNKN,large_airport,Mallam Aminu International Airport,1562,AF,NG,NG-KN,Kano,DNKN,KAN,,"8.52462, 12.0476"
DNMA,medium_airport,Maiduguri International Airport,1099,AF,NG,NG-BO,Maiduguri,DNMA,MIU,,"13.080900192260742, 11.855299949645996"
DNMK,medium_airport,Makurdi Airport,371,AF,NG,NG-BE,Makurdi,DNMK,MDI,,"8.61394, 7.70388"
DNMM,large_airport,Murtala Muhammed International Airport,135,AF,NG,NG-LA,Lagos,DNMM,LOS,,"3.321160078048706, 6.5773701667785645"
DNMN,medium_airport,Minna Airport,834,AF,NG,NG-NI,Minna,DNMN,MXJ,,"6.462259769439697, 9.652170181274414"
DNOS,small_airport,Oshogbo Airport,997,AF,NG,NG-OS,Oshogbo,DNOS,,,"4.482999801635742, 7.7829999923706055"
DNPO,medium_airport,Port Harcourt International Airport,87,AF,NG,NG-RI,Port Harcourt,DNPO,PHC,,"6.94959020614624, 5.0154900550842285"
DNSO,medium_airport,Sadiq Abubakar III International Airport,1010,AF,NG,NG-SO,Sokoto,DNSO,SKO,,"5.207190036773682, 12.916299819946289"
DNYO,medium_airport,Yola Airport,599,AF,NG,NG-AD,Yola,DNYO,YOL,,"12.430399894714355, 9.257550239562988"
DNZA,medium_airport,Zaria Airport,2170,AF,NG,NG-KD,Zaria,DNZA,ZAR,,"7.68581, 11.1302"
NG-0001,closed,Agbara-Otor,,AF,NG,NG-DE,,,,,"6.058831214904785, 5.529193878173828"
NG-0002,small_airport,Kainji,,AF,NG,NG-NI,,,,,"4.485443592071533, 9.892666816711426"
NG-0003,medium_airport,Gombe Lawanti International Airport,1590,AF,NG,NG-GO,Gombe,DNGO,GMO,,"10.896388888899999, 10.298333333299999"
NG-0004,small_airport,Port Harcourt City Airport,57,AF,NG,NG-RI,Port Harcourt,,PHG,,"7.021388888890001, 4.846111111110001"
NG-0005,small_airport,Srr Ahmadu Bello International Airport,775,AF,NG,NG-KE,Birinin Kebbi,DNBK,,,"4.369445, 12.480556"
NG-0007,small_airport,Lokoja Airstrip,320,AF,NG,NG-KO,Lokoja,,,,"6.582793, 7.801829"
NG-0008,closed,Suntai Airstrip,475,AF,NG,NG-TA,Suntai,,,,"10.374472, 7.909458"
NG-BCU,small_airport,Bauchi Airport,1998,AF,NG,NG-BA,Bauchi,DNBA,,,"9.816672, 10.294402"
NG-QRW,medium_airport,Warri Airport,242,AF,NG,NG-DE,Warri,DNSU,QRW,,"5.81778, 5.59611"
