ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
AE-0002,heliport,Burj al Arab Resort Helipad,689,AS,AE,AE-DU,Dubai,,,,"55.185496, 25.141327"
AE-0003,small_airport,Dubai Skydive,,AS,AE,AE-DU,,,,,"55.1366257668, 25.0898742332"
AE-0004,heliport,Sheikh Sultan Bin Khalifa bin Zayed Al Nahyan palace Heliport Complex,,AS,AE,AE-DU,,,,,"55.1746809483, 25.1225658976"
AE-0005,heliport,Kempinski Emirates Palace Twin Heliport,,AS,AE,AE-UQ,,,,,"54.3205904961, 24.462267882799996"
AE-0006,seaplane_base,Jebel Ali Seaplane Base,0,AS,AE,AE-DU,Jebel Ali,,DJH,,"55.023796, 24.988967"
AE-0007,heliport,Al Ghuwaifat Border Post helipad,,AS,AE,AE-DU,,,,,"51.600595, 24.120421"
AE-0008,heliport,Al Ghuwaifat Customs Post helipad,,AS,AE,AE-DU,,,,,"51.616767, 24.128339"
AE-0009,heliport,Delma Hospital Helipad,17,AS,AE,AE-AZ,Delma Island,,,,"52.3101, 24.4756"
AE-0010,heliport,Schumacher Heliport,,AS,AE,AE-DU,Dubai,,,,"55.138836, 25.221807"
AE-0011,heliport,Palm Jumeirah Heliport,,AS,AE,AE-DU,,,,,"55.114092, 25.127297"
AE-0012,heliport,Waldorf Astoria Dubai Palm Jumeirah Helipad,,AS,AE,AE-DU,,,,,"55.150379, 25.133372"
AE-0013,heliport,Oceana Palm Jumeirah Helipad,,AS,AE,AE-U-A,,,,,"55.135169, 25.110083"
AE-0014,heliport,Ghantoot Racing & Polo Club Helipad,,AS,AE,AE-AZ,,,,,"54.905556, 24.86824"
AE-0015,heliport,Golden Tulip Al Jazira Helipad,,AS,AE,AE-AZ,,,,,"54.894996, 24.858628"
AE-0016,heliport,Ghantoot Hotel 1 Helipad,,AS,AE,AE-AZ,,,,,"54.88826, 24.866038"
AE-0017,heliport,Ghantoot Hotel 2 Helipad,,AS,AE,AE-AZ,,,,,"54.882283, 24.865417"
AE-0018,heliport,Ghantoot Hotel 3 Helipad,,AS,AE,AE-AZ,,,,,"54.860294, 24.894949"
AE-0019,heliport,Dubai Festival City Helipad,,AS,AE,AE-DU,Dubai,,,,"55.349227, 25.220765"
AE-0020,heliport,Yas Marina Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,"54.609561, 24.468368"
AE-0021,heliport,Yas Marina Circuit Heliport,,AS,AE,AE-AZ,Abu Dhabi,,,,"54.603443, 24.469136"
AE-0022,heliport,Al Mushrif Palace Helipad,,AS,AE,AE-AZ,Abu Dhabi,,,,"54.377368, 24.452066"
AE-0023,heliport,Al Forsan Helipad,,AS,AE,AE-AZ,,,,,"54.543507, 24.406998"
AE-0024,small_airport,Yasat Higher Airport,,AS,AE,AE-AZ,,,,,"52.006719, 24.221075"
AE-0025,heliport,Sila Hospitals Helipad,,AS,AE,AE-AZ,Baya Al Sila,,,,"51.762519, 24.068301"
AYM,seaplane_base,Yas Island Seaplane Base,0,AS,AE,AE-AZ,Abu Dhabi,,AYM,,"54.6103, 24.467"
DCG,seaplane_base,Dubai Creek SPB,,AS,AE,AE-DU,Dubai,,DCG,,"55.3313888889, 25.2422222222"
OM10,small_airport,Yas Island Airport,,AS,AE,AE-AZ,Yas Island,,,,"52.58039855957031, 24.284000396728516"
OM11,small_airport,Abu Dhabi Northeast Airport,88,AS,AE,AE-AZ,Abu Dhabi,,,,"54.980098724365234, 24.51889991760254"
OMAA,large_airport,Abu Dhabi International Airport,88,AS,AE,AE-AZ,Abu Dhabi,OMAA,AUH,,"54.651100158691406, 24.433000564575195"
OMAB,small_airport,Buhasa Airport,,AS,AE,AE-AZ,,OMAB,,,"53.379398345947266, 23.599700927734375"
OMAC,closed,Asab Airfield,,AS,AE,AE-AZ,,OMAC,,,"54.22169876098633, 23.298099517822266"
OMAD,medium_airport,Bateen Airport,16,AS,AE,AE-AZ,,OMAD,AZI,,"54.458099365234375, 24.428300857543945"
OMAF,small_airport,Futaysi,,AS,AE,AE-AZ,,OMAF,,,"54.31611251831055, 24.378889083862305"
OMAG,small_airport,KIZAD Airport,50,AS,AE,AE-AZ,,OMAG,,,"54.832259, 24.726505"
OMAH,small_airport,Al Hamra Aux Airport,50,AS,AE,AE-AZ,,OMAH,,,"52.463600158691406, 24.073999404907227"
OMAJ,small_airport,Jebel Dhana Airport,43,AS,AE,AE-AZ,,OMAJ,,,"52.61399841308594, 24.187400817871094"
OMAL,medium_airport,Al Ain International Airport,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,,"55.60919952392578, 24.261699676513672"
OMAM,medium_airport,Al Dhafra Air Base,77,AS,AE,AE-AZ,,OMAM,DHF,,"54.547698974599996, 24.248199462900004"
OMAQ,small_airport,Qarnayn Airport,,AS,AE,AE-AZ,Qarnayn Island,OMAQ,,,"52.855098724365234, 24.930599212646484"
OMAR,small_airport,Arzanah Airport,15,AS,AE,AE-AZ,Arzanah Island,OMAR,,,"52.559898376464844, 24.780500411987305"
OMAS,small_airport,Das Island Airport,12,AS,AE,AE-AZ,Das Island,OMAS,,,"52.87369918823242, 25.14620018005371"
OMAZ,small_airport,Zirku Airport,14,AS,AE,AE-AZ,Zirku Island,OMAZ,,,"53.07714080810547, 24.862491607666016"
OMBY,medium_airport,Sir Bani Yas Airport,25,AS,AE,AE-AZ,,OMBY,XSB,OMBY,"52.580278, 24.283611"
OMDB,large_airport,Dubai International Airport,62,AS,AE,AE-DU,Dubai,OMDB,DXB,,"55.3643989563, 25.2527999878"
OMDM,medium_airport,Al Minhad Air Base,165,AS,AE,AE-DU,Dubai,OMDM,NHD,,"55.3661994934, 25.0268001556"
OMDW,large_airport,Al Maktoum International Airport,114,AS,AE,AE-DU,Jebel Ali,OMDW,DWC,,"55.161389, 24.896356"
OMFJ,medium_airport,Fujairah International Airport,152,AS,AE,AE-FU,,OMFJ,FJR,,"56.32400131225586, 25.112199783325195"
OMRK,medium_airport,Ras Al Khaimah International Airport,102,AS,AE,AE-RK,Ras Al Khaimah,OMRK,RKT,,"55.93880081176758, 25.613500595092773"
OMRS,small_airport,Al Saqr Field,,AS,AE,AE-RK,,OMRS,,,"55.95944595336914, 25.752777099609375"
OMSJ,large_airport,Sharjah International Airport,111,AS,AE,AE-SH,Sharjah,OMSJ,SHJ,,"55.5172004699707, 25.32859992980957"
OMUQ,small_airport,Umm Al Quwain,,AS,AE,AE-UQ,,OMUQ,,,"55.6511116027832, 25.57722282409668"
RHR,seaplane_base,Ras al Khaimah Al Hamra Seaplane Base,,AS,AE,AE-RK,Ras Al Khaimah,,RHR,,"55.778, 25.691"
ZDY,small_airport,Delma Airport,30,AS,AE,AE-AZ,Delma Island,OMDL,ZDY,,"52.3352, 24.51"
