ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
ABE,closed,RAF Calveley,,EU,GB,GB-ENG,Cheshire,,,,"-2.603889, 53.113333"
ABL,closed,RNAS/RAF Calshot,,EU,GB,GB-ENG,Hampshire,,,,"-1.30677223206, 50.8199131549"
ADJ,closed,RAF Castletown,,EU,GB,GB-SCT,Caithness,,,,"-3.3481693267800003, 58.5847198881"
BE-0005,closed,RAF Castle Camps,420,EU,GB,GB-ENG,Cambridgeshire,,,,"0.378611, 52.051389"
bl,closed,RNAS Pembroke/RNAS Milton/RAF Carew Cheriton,,NA,GB,GB-ENG,Pembrokeshire,,,,"-4.812355041499999, 51.690117088"
Cark,small_airport,Cark airfield,20,EU,GB,GB-ENG,Cark,,,,"-2.962299, 54.163753"
EG03,small_airport,Badminton Airfield,495,EU,GB,GB-ENG,Badminton,EG03,,,"-2.30318069458, 51.5484166846"
EG19,small_airport,Boon Hill Farm Airstrip,,EU,GB,GB-ENG,"Fadmoor, Kirbymoorside",EG19,,,"-0.983105, 54.308086"
EG34,small_airport,Ledbury Airport,250,EU,GB,GB-ENG,Ledbury,,,,"-2.47416, 52.0019"
EG3L,small_airport,Milfield Glider Field,,EU,GB,GB-ENG,,EGEX,,,"-2.087231, 55.591636"
EG64,small_airport,Rufforth West,65,EU,GB,GB-ENG,York (Rufforth),EGYJ,,,"-1.185575, 53.94829"
EG73,closed,RNAS Fearn Air Base,25,EU,GB,GB-SCT,Fearn,,,,"-3.943, 57.757999"
EG74,small_airport,Bruntingthorpe Airport,467,EU,GB,GB-ENG,Bruntingthorpe,,,,"-1.12509, 52.492972"
EGAA,large_airport,Belfast International Airport,268,EU,GB,GB-NIR,Belfast,EGAA,BFS,,"-6.2158298492399995, 54.6575012207"
EGAB,medium_airport,St Angelo Airport,155,EU,GB,GB-NIR,Enniskillen,EGAB,ENK,,"-7.651669979095459, 54.39889907836914"
EGAC,large_airport,George Best Belfast City Airport,15,EU,GB,GB-NIR,Belfast,EGAC,BHD,,"-5.872499942779541, 54.618099212646484"
EGAD,small_airport,Newtownards Airport,9,EU,GB,GB-NIR,Newtownards,EGAD,,,"-5.69193983078, 54.5811004639"
EGAE,medium_airport,City of Derry Airport,22,EU,GB,GB-NIR,Derry,EGAE,LDY,,"-7.161109924316406, 55.04280090332031"
EGAL,closed,Langford Lodge Air Base,,EU,GB,GB-NIR,Belfast,EGAL,,,"-6.30000019, 54.62310028"
EGBB,large_airport,Birmingham International Airport,327,EU,GB,GB-ENG,Birmingham,EGBB,BHX,,"-1.74802994728, 52.453899383499994"
EGBC,heliport,Cheltenham Racecourse Heliport,213,EU,GB,GB-ENG,Cheltenham,EGBC,,,"-2.054351, 51.925626"
EGBD,small_airport,Derby Airfield,175,EU,GB,GB-ENG,Derby,EGBD,,,"-1.61749994755, 52.8596992493"
EGBE,medium_airport,Coventry Airport,267,EU,GB,GB-ENG,Coventry,EGBE,CVT,,"-1.4797199964499999, 52.3697013855"
EGBF,small_airport,Bedford Aerodrome,270,EU,GB,GB-ENG,Bedford,EGBF,,,"-0.4455556, 52.2325"
EGBG,small_airport,Leicester Airport,469,EU,GB,GB-ENG,Leicester,EGBG,,,"-1.03193998336792, 52.6077995300293"
EGBJ,medium_airport,Gloucestershire Airport,101,EU,GB,GB-ENG,Staverton,EGBJ,GLO,,"-2.167220115661621, 51.89419937133789"
EGBK,small_airport,Sywell Aerodrome,429,EU,GB,GB-ENG,Northampton,EGBK,ORM,,"-0.7930560112, 52.305301666300004"
EGBL,small_airport,Long Marston Airfield,154,EU,GB,GB-ENG,Long Marston,EGBL,,,"-1.75361001, 52.14030075"
EGBM,small_airport,Tatenhill Airfield,439,EU,GB,GB-ENG,Burton upon Trent,EGBM,,,"-1.76110994816, 52.814701080300004"
EGBN,medium_airport,Nottingham Airport,138,EU,GB,GB-ENG,Nottingham,EGBN,NQT,,"-1.0791699886322021, 52.91999816894531"
EGBO,small_airport,Wolverhampton Halfpenny Green Airport,283,EU,GB,GB-ENG,Wolverhampton,EGBO,,,"-2.2594399452209473, 52.51750183105469"
EGBP,small_airport,Cotswold Airport,433,EU,GB,GB-ENG,Kemble,EGBP,GBA,,"-2.05694, 51.668095"
EGBR,small_airport,Breighton Airfield,163,EU,GB,GB-ENG,Breighton,EGBR,,,"-0.915964, 53.8024"
EGBS,small_airport,Shobdon Aerodrome,318,EU,GB,GB-ENG,Shobdon,EGBS,,,"-2.8811099529299997, 52.2416992188"
EGBT,small_airport,Turweston Airport,448,EU,GB,GB-ENG,Turweston,EGBT,,,"-1.09555995464, 52.0407981873"
EGBV,heliport,Silverstone Heliport,502,EU,GB,GB-ENG,Buckingham,EGBV,,,"-1.0166699886322021, 52.0713996887207"
EGBW,small_airport,Wellesbourne Mountford Airport,159,EU,GB,GB-ENG,Stratford-on-Avon,EGBW,,,"-1.6144399642944336, 52.19219970703125"
EGCA,small_airport,Coal Aston Airfield,750,EU,GB,GB-ENG,,EGCA,,,"-1.430556, 53.304722"
EGCB,small_airport,City Airport Manchester,73,EU,GB,GB-ENG,Manchester / Salford,EGCB,,,"-2.38971996307, 53.471698761"
EGCC,large_airport,Manchester Airport,257,EU,GB,GB-ENG,Manchester,EGCC,MAN,,"-2.2749500274658203, 53.35369873046875"
EGCD,closed,Manchester Woodford Airport,295,EU,GB,GB-ENG,Manchester,EGCD,,XXB,"-2.14889, 53.3381"
EGCE,closed,RAF Wrexham,250,EU,GB,GB-WLS,Wrexham,EGCE,,,"-2.9502777777799998, 53.066666666699994"
EGCF,small_airport,Sandtoft Airfield,11,EU,GB,GB-ENG,Belton,EGCF,,,"-0.8583329916, 53.559700012200004"
EGCG,small_airport,Strubby Airfield,45,EU,GB,GB-ENG,Strubby,EGCG,,,"0.172269, 53.310826"
EGCH,heliport,Holyhead Heliport,39,EU,GB,GB-WLS,,EGCH,,,"-4.616862, 53.298848"
EGCJ,small_airport,Sherburn-In-Elmet Airfield,26,EU,GB,GB-ENG,Selby,EGCJ,,,"-1.216877, 53.788458"
EGCK,small_airport,Caernarfon Airport,1,EU,GB,GB-WLS,Caernarfon,EGCK,,,"-4.337614, 53.101819"
EGCL,small_airport,Fenland Airfield,8,EU,GB,GB-ENG,Spalding,EGCL,,,"-0.0297219995409, 52.739200592"
EGCN,large_airport,Robin Hood Doncaster Sheffield Airport,55,EU,GB,GB-ENG,Doncaster,EGCN,DSA,,"-1.01065635681, 53.4805378105"
EGCO,closed,Birkdale Sands Beach Runway,3,EU,GB,GB-ENG,Southport,EGCO,,,"-3.02861, 53.645302"
EGCP,closed,RAF Thorne,16,EU,GB,GB-ENG,Thorne,EGCP,,,"-0.928056, 53.6222"
EGCR,closed,Croydon Airport,,EU,GB,GB-U-A,,EGCR,,,"-0.117222, 51.356389"
EGCS,small_airport,Sturgate Airfield,58,EU,GB,GB-ENG,Lincoln,EGCS,,,"-0.6852779984474182, 53.381099700927734"
EGCT,small_airport,Tilstock Airfield,301,EU,GB,GB-ENG,Whitchurch,EGCT,,,"-2.646389961242676, 52.93080139160156"
